Object,positionX,positionY,velocityX,velocityY
Airplane0,227.238007,40.998585,14.000000,-0.166600
Airplane1,364.377991,268.997833,18.000000,-0.205800
Airplane2,464.135010,501.996429,5.000000,-0.264600
Airplane3,507.031006,60.995293,1.000000,-0.303800
Airplane4,422.252014,294.993652,7.000000,-0.352800
Airplane0,227.938004,40.986336,14.000000,-0.490000
Airplane1,365.349976,268.983551,18.000000,-0.529200
Airplane2,464.420013,501.980499,5.000000,-0.558600
Airplane3,507.092010,60.977058,1.000000,-0.597800
Airplane4,422.707001,294.972961,7.000000,-0.637000
Airplane0,229.100006,40.952579,14.000000,-0.813400
Airplane1,366.915985,268.946472,18.000000,-0.852600
Airplane2,464.875000,501.939911,5.000000,-0.891800
Airplane3,507.187012,60.932835,1.000000,-0.931000
Airplane4,423.399994,294.924927,7.000000,-0.970200
Airplane0,230.723999,40.886646,14.000000,-1.136800
Airplane1,369.112000,268.873535,18.000000,-1.195600
Airplane2,465.515015,501.859619,5.000000,-1.254400
Airplane3,507.321014,60.844849,1.000000,-1.313200
Airplane4,424.380005,294.828888,7.000000,-1.372000
Airplane0,232.809998,40.777863,14.000000,-1.460200
Airplane1,371.902008,268.755798,18.000000,-1.519000
Airplane2,466.320007,501.732605,5.000000,-1.577800
Airplane3,507.488007,60.708191,1.000000,-1.636600
Airplane4,425.584015,294.683929,7.000000,-1.685600
Airplane0,235.358002,40.615555,14.000000,-1.783600
Airplane1,375.304016,268.580780,18.000000,-1.852200
Airplane2,467.295013,501.546295,5.000000,-1.911000
Airplane3,507.688995,60.510227,1.000000,-1.969800
Airplane4,427.026001,294.475983,7.000000,-2.018800
Airplane0,238.382004,40.386940,14.000000,-2.116800
Airplane1,379.300018,268.339294,18.000000,-2.175600
Airplane2,468.425018,501.296021,5.000000,-2.214800
Airplane3,507.919983,60.248756,1.000000,-2.263800
Airplane4,428.684998,294.200745,7.000000,-2.322600
Airplane0,241.868011,40.083134,14.000000,-2.440200
Airplane1,383.926025,268.015656,18.000000,-2.518600
Airplane2,469.740021,500.957092,5.000000,-2.577400
Airplane3,508.188995,59.894188,1.000000,-2.636200
Airplane4,430.609985,293.830170,7.000000,-2.695000
Airplane0,246.054016,39.645069,14.000000,-2.930200
